id,year,month,day,country,region,district,city,un,ingo,lgno_ncrs,icrc,ifrc,other,nationals_killed,nationals_wounded,nationals_kidnapped,total_nationals,internationals_killed,internationals_wounded,internationals_kidnapped,total_internationals,total_killed,total_wounded,total_kidnapped,total_affected,gender_male,gender_female,gender_unknown,means_of_attack,attack_context,location,lat,lng,details_(public),column,country_id,assumedday,assumedmonth,time,bucket
95,2000.0,1.0,10.0,Mozambique,,,Maputo,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,IA,U,-25.9662133,32.5674498,1 UN national staff shot and killed in Maputo on Jan 10.,"Maputo, Mozambique",508,10,1,9.474624e+11,0
96,2000.0,1.0,,Somalia,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,S,Am,R,8.3676771,49.083416,1 ICRC national staff shot and wounded when returning from a relief distribution.,,706,1,1,9.466848e+11,0
97,2000.0,1.0,8.0,South Sudan,Unity State,,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,U,Am,U,8.927721,29.788925,2 INGO national staff killed in ambush in Al Wahdah State on Jan 8.,,728,8,1,9.472896e+11,0
98,2000.0,1.0,,Somalia,Banaadir,,north of Mogadishu,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,Am,R,2.0371099999999998,45.34375,1 INGO national staff killed during an ambush north of Mogadishu.,"Mogadishu, Banaadir, Somalia",706,1,1,9.466848e+11,0
99,2000.0,1.0,28.0,Somalia,,,,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,U,Am,U,8.3676771,49.083416,5 INGO national staff killed in attack on aid convoy on Jan 28.,,706,28,1,9.490176e+11,0
100,2000.0,1.0,,Somalia,Lower Shebelle,Sablale,Sablale,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,U,R,H,1.8427539000000002,44.5937239,2 INGO national staff killed in attack on office in Sablale.,"Lower Shebelle, Somalia",706,1,1,9.466848e+11,0
101,2000.0,1.0,,Sudan,,,,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,U,Am,R,14.584444400000002,29.4917691,"8 INGO staff (7 national, 1 international) killed killed in attack on vehicle.",,729,1,1,9.466848e+11,0
102,2000.0,1.0,,Angola,Huila,Quilengues (near),,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,5.0,U,Am,U,-14.066670000000002,14.08333,3 INGO national staff killed and 2 wounded in ambush near the town of Quilengues.,"Quilengues, Huila, Angola",24,1,1,9.466848e+11,0
103,2000.0,2.0,,Ethiopia,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,U,Am,U,9.145,40.489673,1 INGO national staff killed and 1 international staff wounded when vehicle ambushed.,,231,1,2,9.493632e+11,0
104,2000.0,2.0,22.0,Kenya,,Nairobi,Nairobi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,IA,U,-1.256975,36.803277,"1 IFI international (Netherlands) staff shot and killed in Nairobi, Feb 22.",,404,22,2,9.511776e+11,0
105,2000.0,3.0,4.0,Rwanda,Kigali,,Kigali,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,S,Am,U,-1.9508511000000002,30.0615075,"1 UN international (Liberian) staff shot and killed by unknown assailant while sitting in their car in Kigali, March 4.",,646,4,3,9.52128e+11,0
106,2000.0,3.0,8.0,Kosovo,,Prishtina,Prishtina,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,S,U,U,42.637119399999996,21.1300415,1 UN national staff shot and killed in Pristina March 8.,"Lumi Prishtina, 10000 Pristine, Republic of Kosovo",-1,8,3,9.524736e+11,0
107,2000.0,3.0,,Sudan,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,U,Am,U,14.584444400000002,29.4917691,1 INGO national staff killed in ambush.,,729,1,3,9.518688e+11,0
